timestamp,building_id,energy,hour,day_of_week,is_weekend,month,sqm,building_type
2016-01-01 00:00:00,Bear_education_Bob,75.2022,0,4,0,1,28360.3,Education
2016-01-01 01:00:00,Bear_education_Bob,84.1075,1,4,0,1,28360.3,Education
2016-01-01 02:00:00,Bear_education_Bob,79.9268,2,4,0,1,28360.3,Education
2016-01-01 03:00:00,Bear_education_Bob,76.54,3,4,0,1,28360.3,Education
2016-01-01 04:00:00,Bear_education_Bob,75.9115,4,4,0,1,28360.3,Education
2016-01-01 05:00:00,Bear_education_Bob,78.0892,5,4,0,1,28360.3,Education
2016-01-01 06:00:00,Bear_education_Bob,79.1928,6,4,0,1,28360.3,Education
2016-01-01 07:00:00,Bear_education_Bob,78.4508,7,4,0,1,28360.3,Education
2016-01-01 08:00:00,Bear_education_Bob,81.753,8,4,0,1,28360.3,Education
2016-01-01 09:00:00,Bear_education_Bob,82.124,9,4,0,1,28360.3,Education
2016-01-01 10:00:00,Bear_education_Bob,85.7882,10,4,0,1,28360.3,Education
2016-01-01 11:00:00,Bear_education_Bob,86.5313,11,4,0,1,28360.3,Education
2016-01-01 12:00:00,Bear_education_Bob,81.8598,12,4,0,1,28360.3,Education
2016-01-01 13:00:00,Bear_education_Bob,83.365,13,4,0,1,28360.3,Education
2016-01-01 14:00:00,Bear_education_Bob,83.5273,14,4,0,1,28360.3,Education
2016-01-01 15:00:00,Bear_education_Bob,85.3047,15,4,0,1,28360.3,Education
2016-01-01 16:00:00,Bear_education_Bob,90.0402,16,4,0,1,28360.3,Education
2016-01-01 17:00:00,Bear_education_Bob,90.4505,17,4,0,1,28360.3,Education
2016-01-01 18:00:00,Bear_education_Bob,87.8892,18,4,0,1,28360.3,Education
2016-01-01 19:00:00,Bear_education_Bob,85.7845,19,4,0,1,28360.3,Education
2016-01-01 20:00:00,Bear_education_Bob,78.8597,20,4,0,1,28360.3,Education
2016-01-01 21:00:00,Bear_education_Bob,77.2307,21,4,0,1,28360.3,Education
2016-01-01 22:00:00,Bear_education_Bob,75.3175,22,4,0,1,28360.3,Education
2016-01-01 23:00:00,Bear_education_Bob,74.4603,23,4,0,1,28360.3,Education
2016-01-02 00:00:00,Bear_education_Bob,75.5013,0,5,1,1,28360.3,Education
2016-01-02 01:00:00,Bear_education_Bob,83.624,1,5,1,1,28360.3,Education
2016-01-02 02:00:00,Bear_education_Bob,82.8435,2,5,1,1,28360.3,Education
2016-01-02 03:00:00,Bear_education_Bob,77.8502,3,5,1,1,28360.3,Education
2016-01-02 04:00:00,Bear_education_Bob,75.7065,4,5,1,1,28360.3,Education
2016-01-02 05:00:00,Bear_education_Bob,75.4307,5,5,1,1,28360.3,Education
2016-01-02 06:00:00,Bear_education_Bob,73.0138,6,5,1,1,28360.3,Education
2016-01-02 07:00:00,Bear_education_Bob,75.9008,7,5,1,1,28360.3,Education
2016-01-02 08:00:00,Bear_education_Bob,76.90899999999998,8,5,1,1,28360.3,Education
2016-01-02 09:00:00,Bear_education_Bob,78.0705,9,5,1,1,28360.3,Education
2016-01-02 10:00:00,Bear_education_Bob,75.785,10,5,1,1,28360.3,Education
2016-01-02 11:00:00,Bear_education_Bob,81.4187,11,5,1,1,28360.3,Education
2016-01-02 12:00:00,Bear_education_Bob,76.2167,12,5,1,1,28360.3,Education
2016-01-02 13:00:00,Bear_education_Bob,74.0437,13,5,1,1,28360.3,Education
2016-01-02 14:00:00,Bear_education_Bob,74.8188,14,5,1,1,28360.3,Education
2016-01-02 15:00:00,Bear_education_Bob,77.038,15,5,1,1,28360.3,Education
2016-01-02 16:00:00,Bear_education_Bob,84.6917,16,5,1,1,28360.3,Education
2016-01-02 17:00:00,Bear_education_Bob,81.8408,17,5,1,1,28360.3,Education
2016-01-02 18:00:00,Bear_education_Bob,79.969,18,5,1,1,28360.3,Education
2016-01-02 19:00:00,Bear_education_Bob,80.093,19,5,1,1,28360.3,Education
2016-01-02 20:00:00,Bear_education_Bob,74.414,20,5,1,1,28360.3,Education
2016-01-02 21:00:00,Bear_education_Bob,74.083,21,5,1,1,28360.3,Education
2016-01-02 22:00:00,Bear_education_Bob,73.425,22,5,1,1,28360.3,Education
2016-01-02 23:00:00,Bear_education_Bob,75.5398,23,5,1,1,28360.3,Education
2016-01-03 00:00:00,Bear_education_Bob,74.9802,0,6,1,1,28360.3,Education
2016-01-03 01:00:00,Bear_education_Bob,79.09,1,6,1,1,28360.3,Education
2016-01-03 02:00:00,Bear_education_Bob,81.796,2,6,1,1,28360.3,Education
2016-01-03 03:00:00,Bear_education_Bob,75.2255,3,6,1,1,28360.3,Education
2016-01-03 04:00:00,Bear_education_Bob,75.3092,4,6,1,1,28360.3,Education
2016-01-03 05:00:00,Bear_education_Bob,77.4263,5,6,1,1,28360.3,Education
2016-01-03 06:00:00,Bear_education_Bob,78.0372,6,6,1,1,28360.3,Education
2016-01-03 07:00:00,Bear_education_Bob,76.6205,7,6,1,1,28360.3,Education
2016-01-03 08:00:00,Bear_education_Bob,95.5885,8,6,1,1,28360.3,Education
2016-01-03 09:00:00,Bear_education_Bob,113.8135,9,6,1,1,28360.3,Education
2016-01-03 10:00:00,Bear_education_Bob,132.0348,10,6,1,1,28360.3,Education
2016-01-03 11:00:00,Bear_education_Bob,134.4998,11,6,1,1,28360.3,Education
2016-01-03 12:00:00,Bear_education_Bob,136.3217,12,6,1,1,28360.3,Education
2016-01-03 13:00:00,Bear_education_Bob,143.7818,13,6,1,1,28360.3,Education
2016-01-03 14:00:00,Bear_education_Bob,141.2493,14,6,1,1,28360.3,Education
2016-01-03 15:00:00,Bear_education_Bob,144.6648,15,6,1,1,28360.3,Education
2016-01-03 16:00:00,Bear_education_Bob,142.2247,16,6,1,1,28360.3,Education
2016-01-03 17:00:00,Bear_education_Bob,139.2758,17,6,1,1,28360.3,Education
2016-01-03 18:00:00,Bear_education_Bob,138.1338,18,6,1,1,28360.3,Education
2016-01-03 19:00:00,Bear_education_Bob,138.9195,19,6,1,1,28360.3,Education
2016-01-03 20:00:00,Bear_education_Bob,138.8105,20,6,1,1,28360.3,Education
2016-01-03 21:00:00,Bear_education_Bob,131.3122,21,6,1,1,28360.3,Education
2016-01-03 22:00:00,Bear_education_Bob,126.835,22,6,1,1,28360.3,Education
2016-01-03 23:00:00,Bear_education_Bob,130.8817,23,6,1,1,28360.3,Education
2016-01-04 00:00:00,Bear_education_Bob,134.5662,0,0,0,1,28360.3,Education
2016-01-04 01:00:00,Bear_education_Bob,131.4647,1,0,0,1,28360.3,Education
2016-01-04 02:00:00,Bear_education_Bob,134.3685,2,0,0,1,28360.3,Education
2016-01-04 03:00:00,Bear_education_Bob,133.3647,3,0,0,1,28360.3,Education
2016-01-04 04:00:00,Bear_education_Bob,137.351,4,0,0,1,28360.3,Education
2016-01-04 05:00:00,Bear_education_Bob,133.451,5,0,0,1,28360.3,Education
2016-01-04 06:00:00,Bear_education_Bob,136.6733,6,0,0,1,28360.3,Education
2016-01-04 07:00:00,Bear_education_Bob,139.6712,7,0,0,1,28360.3,Education
2016-01-04 08:00:00,Bear_education_Bob,159.3732,8,0,0,1,28360.3,Education
2016-01-04 09:00:00,Bear_education_Bob,169.79,9,0,0,1,28360.3,Education
2016-01-04 10:00:00,Bear_education_Bob,168.1908,10,0,0,1,28360.3,Education
2016-01-04 11:00:00,Bear_education_Bob,170.6017,11,0,0,1,28360.3,Education
2016-01-04 12:00:00,Bear_education_Bob,171.6502,12,0,0,1,28360.3,Education
2016-01-04 13:00:00,Bear_education_Bob,176.1932,13,0,0,1,28360.3,Education
2016-01-04 14:00:00,Bear_education_Bob,177.9837,14,0,0,1,28360.3,Education
2016-01-04 15:00:00,Bear_education_Bob,166.7604,15,0,0,1,28360.3,Education
2016-01-04 16:00:00,Bear_education_Bob,168.4575,16,0,0,1,28360.3,Education
2016-01-04 17:00:00,Bear_education_Bob,153.673,17,0,0,1,28360.3,Education
2016-01-04 18:00:00,Bear_education_Bob,144.012,18,0,0,1,28360.3,Education
2016-01-04 19:00:00,Bear_education_Bob,134.7247,19,0,0,1,28360.3,Education
2016-01-04 20:00:00,Bear_education_Bob,126.788,20,0,0,1,28360.3,Education
2016-01-04 21:00:00,Bear_education_Bob,120.041,21,0,0,1,28360.3,Education
