building_id,building_type,sqm,n_hours,missing_rate,train_hours,val_hours,test_hours,mean_energy,std_energy,zero_ratio,test_mean,test_std,test_zero_ratio,test_persistence_mae,daily_profile_range,eligible_coverage,active_test,selected
Hog_education_Janell,Education,26718.3,17179,0.02080483356133156,10307,3436,3436,3331.3986727981837,1057.3677493931634,5.821060597240817e-05,3479.3602153667052,892.4789092428887,0.0,104.46368698710432,640.7486693725778,True,True,True
Moose_education_Clark,Education,70999.9,17511,0.0018809849521204125,10506,3502,3503,845.2690896008224,286.25835235185116,0.0,806.9451757350843,286.29197813840176,0.0,50.740936907157234,505.9769133241757,True,True,True
Moose_education_Gladys,Education,67999.9,17453,0.005186958504331929,10471,3491,3491,1118.3069412421935,295.159262467493,0.0,1072.2816782297336,286.2319634979511,0.0,47.37140092298817,544.782950770933,True,True,True
Hog_education_Caridad,Education,24153.8,17122,0.024053807569539454,10273,3424,3425,1338.197188202313,582.4912721012357,0.0,1183.7084299854016,513.1918846797803,0.0,47.12415918847398,394.01828570311704,True,True,True
Cockatoo_education_Joeann,Education,10360.4,16043,0.08555631554947563,9625,3209,3209,393.66417492987597,178.39376269118102,0.0,366.4870728264257,151.4321091746882,0.0,46.36895604395605,407.28937483528296,True,True,True
Moose_education_Rene,Education,37999.9,17511,0.0018809849521204125,10506,3502,3503,482.06084416652385,303.9224909161174,0.0,459.153208478447,314.04370867705563,0.0,45.30497637252084,505.3462677822521,True,True,True
Rat_education_Kathryn,Education,30213.6,17541,0.00017099863201097687,10524,3508,3509,518.9253166866199,219.39900222631198,0.0,501.5616357936734,215.81281643404103,0.0,43.72954088952654,373.5039912486179,True,True,True
Bobcat_education_Whitney,Education,6957.1,15159,0.1359439124487004,9095,3032,3032,360.61592404512174,155.84327269417167,0.0029025661323306287,348.29592018469657,186.06790113809583,0.00032981530343007914,42.30885079787234,254.10781917591123,True,True,True
Moose_education_Leland,Education,48999.9,17511,0.0018809849521204125,10506,3502,3503,984.6001290388898,1039.9084387115172,0.26320598480954827,999.5287683985156,269.902057616266,0.0,40.20316806553608,543.3838787396508,True,True,True
Moose_education_Abbie,Education,45000.0,17508,0.0020519835841312783,10504,3502,3502,1249.1046995373542,254.642409667724,0.0,1165.6911042832667,244.91330282963588,0.0,37.493968516388726,393.1960740384616,True,True,True
Panther_education_Neal,Education,7578.7,17534,0.0005699954400364415,10520,3507,3507,192.70182702178624,133.82920114033183,0.19259723964868256,247.93775143997718,107.47216688638507,0.0,36.87429853574505,112.49571668946646,True,True,True
Hog_education_Casandra,Education,26033.7,17194,0.019949840401276786,10316,3439,3439,1058.2222265325115,376.6609205533755,0.0,955.6355207909276,318.4837630569335,0.0,36.25497276720351,200.45552356257247,True,True,True
Rat_education_Tania,Education,21832.2,17436,0.006155950752393946,10461,3487,3488,308.0541626519844,159.21030000024666,0.007570543702684102,227.12834288990825,101.38297057663115,0.014334862385321102,35.21370092378753,166.72901076710875,True,True,True
Bear_education_Wilton,Education,28273.4,17460,0.004787961696306464,10476,3492,3492,1563.724855561283,164.40471218624108,0.0,1662.4121471649487,168.55158184085428,0.0,34.80641704152249,289.77883519033253,True,True,True
Hog_education_Robert,Education,30925.9,17537,0.0003989968080255757,10522,3507,3508,556.5494902206763,208.9118898844251,0.0,547.3522762257696,207.5676062238115,0.0,34.349956946039036,386.52283876281325,True,True,True
Wolf_education_Anisa,Education,11008.0,17534,0.0005699954400364415,10520,3507,3507,232.930627209992,151.19757196054553,0.025949583666020303,217.44940903906473,143.9549710470578,0.0,33.17343238587425,201.27415497160956,True,True,True
Rat_education_Lee,Education,26291.5,17532,0.0006839945280437965,10519,3506,3507,403.4237890714123,112.37565923753665,0.0,436.29585970915315,111.64679975608354,0.0,32.73061154177433,180.12726402188787,True,True,True
Rat_education_Beverly,Education,36603.8,17512,0.0018239854081167906,10507,3502,3503,659.5770728643216,298.27698189467327,0.0,482.4401969740223,195.71264762914757,0.0,32.066062086806554,384.4089634679449,True,True,True
Bear_education_Chad,Education,39101.5,17448,0.005471956224350261,10468,3490,3490,1000.0856097546995,166.0250056617346,0.0,1062.805356790831,157.61054133063666,0.0,30.150055193306404,254.4909523726484,True,True,True
Eagle_education_Peter,Education,41103.8,17295,0.014192886456908305,10377,3459,3459,1558.9417151546688,151.5037532859331,0.0,1470.1394807458803,133.5002700489895,0.0,28.87779860262009,290.8122452338275,True,True,True
Peacock_education_Gilberto,Education,23225.8,17527,0.0009689922480620172,10516,3505,3506,1027.7996031266048,94.90066053729153,0.0,1048.215601026811,94.95640617016129,0.0,26.701353159103963,217.4545696788698,True,True,True
Bear_education_Bulah,Education,20504.0,17442,0.005813953488372103,10465,3488,3489,1331.7302557848873,138.71724765088402,0.0,1416.7864721696762,141.11064370685318,0.0,26.319371313131317,245.2076814586926,True,True,True
